
Company,Category,Sub-Category,Acquired/IPO,Exit Year,Data Driven / Hardwired Video
Amazon QuickSight,Analytics,BI Platforms,,,
AtScale,Analytics,BI Platforms,,,
Bime Analytics,Analytics,BI Platforms,Acquired by Zendesk in October 2015,2015,
Birst,Analytics,BI Platforms,Acquired by Infor in April 2017,2017,
Domo,Analytics,BI Platforms,IPO in June 2018,2018,
GoodData,Analytics,BI Platforms,,,
Information Builders,Analytics,BI Platforms,,,
Jaspersoft,Analytics,BI Platforms,Acquired by Tibco in April 2014,2014,
Kyvos Insights,Analytics,BI Platforms,,,
Microstrategy,Analytics,BI Platforms,,,
Platfora,Analytics,BI Platforms,Acquired by Workday in July 2016,2016,Video
Qlik,Analytics,BI Platforms,Acquired by Thoma Bravo in August 2016,2016,Video
Salesforce Einstein Analytics,Analytics,BI Platforms,,,
Sisense,Analytics,BI Platforms,,,Video
ThoughtSpot,Analytics,BI Platforms,,,
20BN,Analytics,Computer Vision,,,
Aibee,Analytics,Computer Vision,,,
Amazon Rekognition,Analytics,Computer Vision,,,
Clarifai,Analytics,Computer Vision,,,Video
Cloudwalk,Analytics,Computer Vision,,,
DataGrid,Analytics,Computer Vision,,,
Deepomatic,Analytics,Computer Vision,,,
Ever AI,Analytics,Computer Vision,,,
Face++,Analytics,Computer Vision,,,
Google Cloud Vision,Analytics,Computer Vision,,,
Microsoft Azure,Analytics,Computer Vision,,,
Neurala,Analytics,Computer Vision,,,
Onfido,Analytics,Computer Vision,,,
Scape,Analytics,Computer Vision,,,
SenseTime,Analytics,Computer Vision,,,
Synthesia,Analytics,Computer Vision,,,
Trax,Analytics,Computer Vision,,,
Ubiquity6,Analytics,Computer Vision,,,
YITU Technology,Analytics,Computer Vision,,,
Alteryx,Analytics,Data Analyst Platforms,,,
Anodot,Analytics,Data Analyst Platforms,,,
Arimo,Analytics,Data Analyst Platforms,Acquired by Panasonic in October 2017,2017,Video
Ascend.io,Analytics,Data Analyst Platforms,,,
Attivio,Analytics,Data Analyst Platforms,,,
Automated Insights,Analytics,Data Analyst Platforms,Acquired by Vista Equity Partners/STATS in February 2015,2015,Video
Ayasdi,Analytics,Data Analyst Platforms,,,Video
Blockspring,Analytics,Data Analyst Platforms,Acquired by Coinbase in January 2019,2019,
Bottlenose,Analytics,Data Analyst Platforms,,,
Cirro,Analytics,Data Analyst Platforms,,,
ClearStory Data,Analytics,Data Analyst Platforms,Acquired by Alteryx in April 2019,2019,Video
Connotate,Analytics,Data Analyst Platforms,Acquired by import.io in February 2019,2019,
Datameer,Analytics,Data Analyst Platforms,,,Video
Dataspora,Analytics,Data Analyst Platforms,Acquired by Via Science in 2011,2011,
Digital Reasoning,Analytics,Data Analyst Platforms,,,
Endor,Analytics,Data Analyst Platforms,,,Video
Glassbeam,Analytics,Data Analyst Platforms,,,
Guavus,Analytics,Data Analyst Platforms,Acquired by Thales in April 2017,2017,
Incorta,Analytics,Data Analyst Platforms,,,
Interana,Analytics,Data Analyst Platforms,,,Video
Karmasphere,Analytics,Data Analyst Platforms,Acquired by FICO in April 2014,2014,
Kimono Labs,Analytics,Data Analyst Platforms,Acquired by Palantir in February 2016,2016,
Lavastorm,Analytics,Data Analyst Platforms,Acquired by Infogix in March 2018,2018,
Luminoso,Analytics,Data Analyst Platforms,,,
Microsoft Analytics Platform,Analytics,Data Analyst Platforms,,,
Mode Analytics,Analytics,Data Analyst Platforms,,,#REF!
Narrator,Analytics,Data Analyst Platforms,,,
Origami Logic,Analytics,Data Analyst Platforms,Acquired by Intuit in May 2019,2019,
Outlier.ai,Analytics,Data Analyst Platforms,,,
Pentaho,Analytics,Data Analyst Platforms,Acquired by Hitachi in February 2015,2015,
Pervasive,Analytics,Data Analyst Platforms,Acquired by Actian in January 2013,2013,
Precog,Analytics,Data Analyst Platforms,Acquired by RichRelevance in August 2013,2013,Video
Quantcell Research,Analytics,Data Analyst Platforms,,,
Semantria,Analytics,Data Analyst Platforms,Acquired by Lexalytics in July 2014,2014,
Sisu Data,Analytics,Data Analyst Platforms,,,
Sisu Data,Analytics,Data Analyst Platforms,,,
Starburst,Analytics,Data Analyst Platforms,,,
Statwing,Analytics,Data Analyst Platforms,Acquired by Qualtrics in May 2016,2016,
Switchboard,Analytics,Data Analyst Platforms,,,
TempoIQ,Analytics,Data Analyst Platforms,Acquired by Avant in August 2016,2016,
Treparel,Analytics,Data Analyst Platforms,Acquired by Evalueserve in May 2015,2015,
Amazon Sagemaker Studio,Analytics,Data Science Notebooks,,,
Azure Notebooks,Analytics,Data Science Notebooks,,,
Binder,Analytics,Data Science Notebooks,,,
CoCalc,Analytics,Data Science Notebooks,,,
Colab,Analytics,Data Science Notebooks,,,
Count,Analytics,Data Science Notebooks,,,
Deepnote,Analytics,Data Science Notebooks,,,
Google DataLab,Analytics,Data Science Notebooks,,,
Jupyter,Analytics,Data Science Notebooks,,,
Nextjounal,Analytics,Data Science Notebooks,,,
Saturn Cloud,Analytics,Data Science Notebooks,,,
Alpine Data Labs,Analytics,Data Science Platforms,Acquired by TIBCO in November 2017,2017,
Anaconda (fka Continuum Analytics),Analytics,Data Science Platforms,,,Video
Angoss,Analytics,Data Science Platforms,Acquired by Datawatch in January 2018,2018,
Civis Analytics,Analytics,Data Science Platforms,,,
Databricks,Analytics,Data Science Platforms,,,
Dataiku,Analytics,Data Science Platforms,,,Video
Datawatch,Analytics,Data Science Platforms,Acquired by Altair in November 2018,2018,
Domino Data Lab,Analytics,Data Science Platforms,,,Video
IBM,Analytics,Data Science Platforms,,,
Indico,Analytics,Data Science Platforms,,,
Knime,Analytics,Data Science Platforms,,,
Mathworks,Analytics,Data Science Platforms,,,
Mortar,Analytics,Data Science Platforms,Acquired by Datadog in February 2015,2015,Video
Prevision,Analytics,Data Science Platforms,,,
RapidMiner,Analytics,Data Science Platforms,,,
Rubikloud,Analytics,Data Science Platforms,,,
SAS,Analytics,Data Science Platforms,,,
Sense,Analytics,Data Science Platforms,Acquired by Cloudera in March 2016,2016,Video
TIBCO,Analytics,Data Science Platforms,,,
Yhat,Analytics,Data Science Platforms,Acquired by Alteryx in June 2017,2017,
4Paradigm,Analytics,Horizontal AI,,,
Affectiva,Analytics,Horizontal AI,,,
Blue Vision Labs,Analytics,Horizontal AI,,,
CognitiveScale,Analytics,Horizontal AI,,,
Cortana Analytics,Analytics,Horizontal AI,,,
Deepmind,Analytics,Horizontal AI,Acquired by Google in January 2014,2014,
Dextro,Analytics,Horizontal AI,Acquired by Taser in February 2017,2017,Video
DT Dream,Analytics,Horizontal AI,,,
Geometric Intelligence,Analytics,Horizontal AI,Acquired by Uber in December 2016,2016,Video
IBM Watson,Analytics,Horizontal AI,,,Video
MetaMind,Analytics,Horizontal AI,Acquired by Salesforce in April 2016,2016,Video
Nara Logics,Analytics,Horizontal AI,,,
Neural Magic,Analytics,Horizontal AI,,,
Numenta,Analytics,Horizontal AI,,,
Osaro,Analytics,Horizontal AI,,,
Peltarion,Analytics,Horizontal AI,,,
Petuum,Analytics,Horizontal AI,,,
Prophesee (fka Chronocam),Analytics,Horizontal AI,,,
Scaled Inference,Analytics,Horizontal AI,,,
Sentient Technologies,Analytics,Horizontal AI,,,
SkyMind,Analytics,Horizontal AI,,,
The Curious AI Company,Analytics,Horizontal AI,,,
Vicarious,Analytics,Horizontal AI,,,
Viv Labs,Analytics,Horizontal AI,Acquired by Samsung in October 2016,2016,
Voyager Labs,Analytics,Horizontal AI,,,
Kibana,Analytics,Log Analytics,,,
LogDNA,Analytics,Log Analytics,,,
Loggly,Analytics,Log Analytics,Acquired by SolarWinds in January 2018,2018,
LogicMonitor,Analytics,Log Analytics,Acquired by Vista Equity Partners in April 2018,2018,
Logz.io,Analytics,Log Analytics,,,
Splunk,Analytics,Log Analytics,,,Video
Sumo Logic,Analytics,Log Analytics,,,Video
Timber,Analytics,Log Analytics,,,Video
AlchemyAPI,Analytics,Machine Learning,Acquired by IBM in March 2015,2015,
Amazon Sagemaker,Analytics,Machine Learning,,,
Azure ML Studio,Analytics,Machine Learning,,,
BigML,Analytics,Machine Learning,,,
Bonsai,Analytics,Machine Learning,Acquired by Microsoft in June 2018,2018,
Cloud AutoML,Analytics,Machine Learning,,,
DataRobot,Analytics,Machine Learning,,,Video
DataRPM,Analytics,Machine Learning,Acquired by Progress in May 2017,2017,
deepsense.ai (fka deepsense.io),Analytics,Machine Learning,,,
Element AI,Analytics,Machine Learning,,,Video
Gamalon,Analytics,Machine Learning,,,Video
H2O,Analytics,Machine Learning,,,Video
H2O.ai,Analytics,Machine Learning,,,
Nutonian,Analytics,Machine Learning,Acquired by DataRobot in May 2017,2017,
OctoML,Analytics,Machine Learning,,,
Prediction.io,Analytics,Machine Learning,Acquired by Salesforce in February 2016,2016,
Skytree,Analytics,Machine Learning,Acquired by Infosys in April 2017,2017,
Spell,Analytics,Machine Learning,,,Video
Turi,Analytics,Machine Learning,Acquired by Apple in August 2016,2016,Video
Versive (fka Context Relevant),Analytics,Machine Learning,Acquired by eSentire in October 2018,2018,Video
ViSenze,Analytics,Machine Learning,,,
Yottamine,Analytics,Machine Learning,,,
Imply,Analytics,NewSQL Databases,,,
Imply,Analytics,NewSQL Databases,,,
Algolia,Analytics,Search,,,Video
AlphaSense,Analytics,Search,,,
Amazon CloudSearch,Analytics,Search,,,
Attivio,Analytics,Search,,,
Autonomy,Analytics,Search,Acquired by HPE in October 2011,2011,
AWS Kendra,Analytics,Search,,,
Coveo,Analytics,Search,,,
Dassault Exalead,Analytics,Search,,,
Elastic,Analytics,Search,,,
LucidWorks,Analytics,Search,,,
Maana,Analytics,Search,,,
omni:us (fka Searchink),Analytics,Search,,,
Oracle Endeca,Analytics,Search,,,
Sinequa,Analytics,Search,,,
Swiftype,Analytics,Search,,,
Bitly,Analytics,Social Analytics,,,Video
Bluefin labs,Analytics,Social Analytics,Acquired by Twitter in February 2013,2013,
DataSift,Analytics,Social Analytics,Acquired by Meltwater Group in March 2018,,
Gnip,Analytics,Social Analytics,Acquired by Twitter in August 2014,2014,Video
Hootsuite,Analytics,Social Analytics,,,
Lithium,Analytics,Social Analytics,,,
Netbase,Analytics,Social Analytics,,,
Salesforce Radian6,Analytics,Social Analytics,,,
SimilarWeb,Analytics,Social Analytics,,,
SimpleReach,Analytics,Social Analytics,Acquired by Nativo in March 2019,2019,Video
Simply Measured,Analytics,Social Analytics,Acquired by Sprout Social in December 2017,2017,
Spredfast,Analytics,Social Analytics,,,
Sprinklr,Analytics,Social Analytics,,,
Statilizer,Analytics,Social Analytics,,,
Synthesio,Analytics,Social Analytics,Acquired by Ipsos in October 2018,2018,
Tracx,Analytics,Social Analytics,,,
Amazon Alexa,Analytics,Speech & NLP,,,
Amazon Comprehend,Analytics,Speech & NLP,,,
Amazon Polly,Analytics,Speech & NLP,,,
Amazon Translate,Analytics,Speech & NLP,,,
Amazon Translate,Analytics,Speech & NLP,,,
Amenity Analytics,Analytics,Speech & NLP,,,
Api.ai,Analytics,Speech & NLP,Acquired by Google in September 2016,2016,
Arria,Analytics,Speech & NLP,,,
Azure Cognitive Services,Analytics,Speech & NLP,,,
Cogito,Analytics,Speech & NLP,,,
Cortical.io,Analytics,Speech & NLP,,,
Eigen,Analytics,Speech & NLP,,,
Google Cloud Platform,Analytics,Speech & NLP,,,
Gridspace,Analytics,Speech & NLP,,,Video
Hugging Face,Analytics,Speech & NLP,,,
Idibon,Analytics,Speech & NLP,Closed - IP & assets sold,2016,
Maluuba,Analytics,Speech & NLP,Acquired by Microsoft in Jan 2017,2017,
MindMeld,Analytics,Speech & NLP,Acquired by Cisco in May 2017,2017,
Mobvoi,Analytics,Speech & NLP,,,
Narrative Science,Analytics,Speech & NLP,,,Video
Nuance,Analytics,Speech & NLP,,,
Papercup,Analytics,Speech & NLP,,,
PolyAI,Analytics,Speech & NLP,,,
Primer,Analytics,Speech & NLP,,,Video
Rasa,Analytics,Speech & NLP,,,
Semantic Machines,Analytics,Speech & NLP,,,
Smartling,Analytics,Speech & NLP,,,
SoundHound,Analytics,Speech & NLP,,,
TalkIQ,Analytics,Speech & NLP,Acquired by Dialpad in May 2018,2018,
Twilio,Analytics,Speech & NLP,IPO in June 2016,2016,Video
Unbabel,Analytics,Speech & NLP,,,
Voicera,Analytics,Speech & NLP,,,Video
Wolfram Alpha,Analytics,Speech & NLP,,,
Yseop,Analytics,Speech & NLP,Acquired by NextStage in June 2018,2018,Video
IBM SPSS,Analytics,Statistical Computing,,,
MatLab,Analytics,Statistical Computing,,,
Prior Knowledge,Analytics,Statistical Computing,Acquired by Salesforce in November 2012,2012,
Revolution Analytics,Analytics,Statistical Computing,Acquired by Microsoft in January 2015,2015,
SAS,Analytics,Statistical Computing,,,
Actuate,Analytics,Visualization,Acquired by OpenText in December 2014,2014,
Captain Dash,Analytics,Visualization,,,
Celonis,Analytics,Visualization,,,Video
Centrifuge Systems,Analytics,Visualization,Acquired by Culmen International in January 2019,2019,
Chartio,Analytics,Visualization,,,
DataHero,Analytics,Visualization,Acquired by Cloudability in January 2016,2016,Video
GeckoBoard,Analytics,Visualization,,,
Google Cloud DataLab,Analytics,Visualization,,,
Grid,Analytics,Visualization,,,
Kitenga,Analytics,Visualization,Acquired by Dell in Feb 2013,2013,
Librato,Analytics,Visualization,Acquired by SolarWinds in January 2015,2015,
Looker,Analytics,Visualization,Acquired by Google in June 2019,2019,
Metric Insights,Analytics,Visualization,,,
Microsoft Power BI,Analytics,Visualization,,,
Observable,Analytics,Visualization,,,
Periscope Data,Analytics,Visualization,Acquired by SiSense in May 2019,2019,Video
Plotly,Analytics,Visualization,,,
Qunb,Analytics,Visualization,Acquired by VE Interactive in December 2014,2014,
Roambi,Analytics,Visualization,Acquired by SAP in February 2016,2016,
SAP Lumira,Analytics,Visualization,,,
Synerscope,Analytics,Visualization,,,
Tableau,Analytics,Visualization,,,
ToucanToco,Analytics,Visualization,,,
ToucanToco,Analytics,Visualization,,,
Visually,Analytics,Visualization,Acquired by ScribbleLive in January 2016,2016,
ZEPL,Analytics,Visualization,,,
Zoomdata,Analytics,Visualization,Acquired by Logi Analytics in June 2019,2019,
Airtable,Analytics,Web/Mobile/Commerce Analytics,,,Video
Amplitude,Analytics,Web/Mobile/Commerce Analytics,,,
Clavis Insight,Analytics,Web/Mobile/Commerce Analytics,Acquired by Ascential in December 2017,2017,
Custora,Analytics,Web/Mobile/Commerce Analytics,,,Video
Google Analytics,Analytics,Web/Mobile/Commerce Analytics,,,
GoSquared,Analytics,Web/Mobile/Commerce Analytics,,,
Granify,Analytics,Web/Mobile/Commerce Analytics,,,
Market Track,Analytics,Web/Mobile/Commerce Analytics,Acquired by Vista Equity Partners in August 2017,2017,
MixPanel,Analytics,Web/Mobile/Commerce Analytics,,,
Quettra,Analytics,Web/Mobile/Commerce Analytics,Acquired by SimilarWeb in December 2015,2015,
Retention Science,Analytics,Web/Mobile/Commerce Analytics,,,
RJMetrics,Analytics,Web/Mobile/Commerce Analytics,Acquired by Magento Commerce in August 2016,2016,
SigOpt,Analytics,Web/Mobile/Commerce Analytics,,,
SumAll,Analytics,Web/Mobile/Commerce Analytics,,,Video
Digits,Application - Enterprise,Finance,,,
Accelirate,Applications - Enterprise,Back Office Automation & RPA,,,
Alkymi,Applications - Enterprise,Back Office Automation & RPA,,,Video
AntWorks,Applications - Enterprise,Back Office Automation & RPA,,,
Appbus,Applications - Enterprise,Back Office Automation & RPA,,,
atSpoke,Applications - Enterprise,Back Office Automation & RPA,,,
Automation Anywhere,Applications - Enterprise,Back Office Automation & RPA,,,
Blue Prism,Applications - Enterprise,Back Office Automation & RPA,,,
Catalytic,Applications - Enterprise,Back Office Automation & RPA,,,
EdgeVerve,Applications - Enterprise,Back Office Automation & RPA,,,
Electric AI,Applications - Enterprise,Back Office Automation & RPA,,,
FortressIQ,Applications - Enterprise,Back Office Automation & RPA,,,
Golden Technology,Applications - Enterprise,Back Office Automation & RPA,,,
HighRadius,Applications - Enterprise,Back Office Automation & RPA,,,
HyperScience,Applications - Enterprise,Back Office Automation & RPA,,,Video
Instabase,Applications - Enterprise,Back Office Automation & RPA,,,
Kyron Systems,Applications - Enterprise,Back Office Automation & RPA,,,
Moveworks,Applications - Enterprise,Back Office Automation & RPA,,,
Redwood,Applications - Enterprise,Back Office Automation & RPA,,,
Thoughtonomy,Applications - Enterprise,Back Office Automation & RPA,Acquired by Blue Prism in June 2019,2019,
UiPath,Applications - Enterprise,Back Office Automation & RPA,,,
Vidado,Applications - Enterprise,Back Office Automation & RPA,Acquired by SS&C in March 2020,2020,Video
Workato,Applications - Enterprise,Back Office Automation & RPA,,,
WorkFusion,Applications - Enterprise,Back Office Automation & RPA,,,Video
Zinier,Applications - Enterprise,Back Office Automation & RPA,,,
Ada,Applications - Enterprise,Customer Experience / Service,,,Video
Ada Support,Applications - Enterprise,Customer Experience / Service,,,
Afiniti,Applications - Enterprise,Customer Experience / Service,,,
Aircall,Applications - Enterprise,Customer Experience / Service,,,
Amazon Lex,Applications - Enterprise,Customer Experience / Service,,,
Amplitude,Applications - Enterprise,Customer Experience / Service,,,
Appuri,Applications - Enterprise,Customer Experience / Service,Acquired by Docusign in December 2017,2017,
ASAPP,Applications - Enterprise,Customer Experience / Service,,,
Attensity,Applications - Enterprise,Customer Experience / Service,Acquired by inContact in September 2016,2016,
Automat,Applications - Enterprise,Customer Experience / Service,,,
CallDesk,Applications - Enterprise,Customer Experience / Service,,,
CallMiner,Applications - Enterprise,Customer Experience / Service,,,
Clarabridge,Applications - Enterprise,Customer Experience / Service,,,
ClickFox,Applications - Enterprise,Customer Experience / Service,,,
Dialogflow,Applications - Enterprise,Customer Experience / Service,,,
DigitialGenius,Applications - Enterprise,Customer Experience / Service,,,
Drift,Applications - Enterprise,Customer Experience / Service,,,
Frame.ai,Applications - Enterprise,Customer Experience / Service,,,Video
Freshdesk,Applications - Enterprise,Customer Experience / Service,,,
Gainsight,Applications - Enterprise,Customer Experience / Service,,,Video
Heap,Applications - Enterprise,Customer Experience / Service,,,
Intercom,Applications - Enterprise,Customer Experience / Service,,,
Kasisto,Applications - Enterprise,Customer Experience / Service,,,
Kustomer,Applications - Enterprise,Customer Experience / Service,,,
LivePerson,Applications - Enterprise,Customer Experience / Service,,,
Medallia,Applications - Enterprise,Customer Experience / Service,,,
Netomi,Applications - Enterprise,Customer Experience / Service,,,
NGData,Applications - Enterprise,Customer Experience / Service,,,
Pendo,Applications - Enterprise,Customer Experience / Service,,,Video
Preact,Applications - Enterprise,Customer Experience / Service,Acquired by Spotify in November 2016,2016,
Qualtrics,Applications - Enterprise,Customer Experience / Service,Acquired by SAP in November 2018,2018,Video
StellaService,Applications - Enterprise,Customer Experience / Service,,,Video
SurveyMonkey,Applications - Enterprise,Customer Experience / Service,,,
Talla,Applications - Enterprise,Customer Experience / Service,,,
TechSee,Applications - Enterprise,Customer Experience / Service,,,
UserTesting,Applications - Enterprise,Customer Experience / Service,,,
Watson Assistant,Applications - Enterprise,Customer Experience / Service,,,
Wise.io,Applications - Enterprise,Customer Experience / Service,Acquired by GE in November 2016,2016,Video
Zendesk,Applications - Enterprise,Customer Experience / Service,,,
Butter,Applications - Enterprise,Enterprise Productivity,Acquired by Box in July 2018,2018,
Clara Labs,Applications - Enterprise,Enterprise Productivity,Acquired by TopFunnel in August 2019,2019,
Diffbot,Applications - Enterprise,Enterprise Productivity,,,
Facebook M,Applications - Enterprise,Enterprise Productivity,,,Video
Guru,Applications - Enterprise,Enterprise Productivity,,,
Guru,Applications - Enterprise,Enterprise Productivity,,,
Oracle AI Apps,Applications - Enterprise,Enterprise Productivity,,,
Pryon,Applications - Enterprise,Enterprise Productivity,,,
Slack,Applications - Enterprise,Enterprise Productivity,,,Video
Tempo,Applications - Enterprise,Enterprise Productivity,Acquired by Salesforce in May 2015,2015,
x.ai,Applications - Enterprise,Enterprise Productivity,,,Video
Adaptive Insights,Applications - Enterprise,Finance,Acquired by Workday in June 2018,2018,
Anaplan,Applications - Enterprise,Finance,IPO in October 2018,2018,
AppZen,Applications - Enterprise,Finance,,,
Botkeeper,Applications - Enterprise,Finance,,,
Host Analytics,Applications - Enterprise,Finance,Acquired by Vector Capital in December 2018,2018,
MineralTree,Applications - Enterprise,Finance,,,
Netsuite,Applications - Enterprise,Finance,,,
Pilot,Applications - Enterprise,Finance,,,
SAP S/4 HANA,Applications - Enterprise,Finance,,,
ScaleFactor,Applications - Enterprise,Finance,,,
Tidemark,Applications - Enterprise,Finance,Acquired in June 2017 by Longview Solutions,2017,
Zuora,Applications - Enterprise,Finance,IPO in April 2018,2018,
AllyO,Applications - Enterprise,Human Capital,,,
Beamery,Applications - Enterprise,Human Capital,,,
Clustree,Applications - Enterprise,Human Capital,Acquired by Cornerstone in January 2020,2020,
Connectifier,Applications - Enterprise,Human Capital,Acquired by LinkedIn in February 2016,2016,
e-cheng,Applications - Enterprise,Human Capital,,,
Entelo,Applications - Enterprise,Human Capital,,,
Evolv.net,Applications - Enterprise,Human Capital,Acquired by Cornerstone in October 2014,2014,
Gigster,Applications - Enterprise,Human Capital,,,
Gild,Applications - Enterprise,Human Capital,Acquired by Citadel in October 2016,2016,
HiQ,Applications - Enterprise,Human Capital,,,
HireVue,Applications - Enterprise,Human Capital,,,
Mya Systems,Applications - Enterprise,Human Capital,,,
Predictive Index,Applications - Enterprise,Human Capital,,,
Pymetrics,Applications - Enterprise,Human Capital,,,Video
Restless Bandit,Applications - Enterprise,Human Capital,,,
Stella.ai,Applications - Enterprise,Human Capital,,,
Textio,Applications - Enterprise,Human Capital,,,Video
Uncommon,Applications - Enterprise,Human Capital,,,
Wade & Wendy,Applications - Enterprise,Human Capital,,,
Brightleaf,Applications - Enterprise,Legal,,,
ContractPodAi,Applications - Enterprise,Legal,,,
Counselytics,Applications - Enterprise,Legal,,,
CS Disco,Applications - Enterprise,Legal,,,
eBrevia,Applications - Enterprise,Legal,Acquired by Donnelley Financial Solutions in December 2018,2018,
Everlaw,Applications - Enterprise,Legal,,,
Ironclad,Applications - Enterprise,Legal,,,
Judicata,Applications - Enterprise,Legal,,,Video
Kira,Applications - Enterprise,Legal,,,
Lex Machina,Applications - Enterprise,Legal,Acquired by LexisNexis in November 2015,2015,Video
Premonition.ai,Applications - Enterprise,Legal,,,
Ravel Law,Applications - Enterprise,Legal,Acquired by LexisNexis in June 2017,2017,
Ross Intelligence,Applications - Enterprise,Legal,,,
Seal Software,Applications - Enterprise,Legal,Acquired by Docusign in February 2020,2020,
6sense,Applications - Enterprise,Marketing - B2B,,,Video
Alyce,Applications - Enterprise,Marketing - B2B,,,
App Annie,Applications - Enterprise,Marketing - B2B,,,
BrightFunnel,Applications - Enterprise,Marketing - B2B,,,
Datafox,Applications - Enterprise,Marketing - B2B,Acquired by Oracle in October 2018,2018,
Engagio,Applications - Enterprise,Marketing - B2B,Acquired by Demandbase in June 2020,2020,
Everstring,Applications - Enterprise,Marketing - B2B,,,
Infer,Applications - Enterprise,Marketing - B2B,Acquired by Ignite Technologies in October 2017,2017,
Knotch,Applications - Enterprise,Marketing - B2B,,,
Lattice Engines,Applications - Enterprise,Marketing - B2B,Acquired by Dun & Bradstreet in June 2019,2019,
MRP Prelytix,Applications - Enterprise,Marketing - B2B,Acquired in October 2014 by First Derivative,2014,
Node,Applications - Enterprise,Marketing - B2B,Acquired by SugarCRM in August 2020,2020,
Reflektion,Applications - Enterprise,Marketing - B2B,,,
Tubular Labs,Applications - Enterprise,Marketing - B2B,,,
ActionIQ,Applications - Enterprise,Marketing - B2C,,,Video
ActiveCampaign,Applications - Enterprise,Marketing - B2C,,,
Amperity,Applications - Enterprise,Marketing - B2C,,,
Attentive Mobile,Applications - Enterprise,Marketing - B2C,,,
automotiveMastermind,Applications - Enterprise,Marketing - B2C,Acquired by IHS Markit in September 2017,2017,
BloomReach,Applications - Enterprise,Marketing - B2C,,,Video
Blue Yonder,Applications - Enterprise,Marketing - B2C,Acquired by JDA in July 2018,2018,
Bluecore,Applications - Enterprise,Marketing - B2C,,,
Braze,Applications - Enterprise,Marketing - B2C,,,Video
ContentSquare,Applications - Enterprise,Marketing - B2C,,,
Faraday,Applications - Enterprise,Marketing - B2C,,,
Gigya,Applications - Enterprise,Marketing - B2C,Acquired by SAP in September 2017,2017,
Invoca,Applications - Enterprise,Marketing - B2C,,,
Kahuna,Applications - Enterprise,Marketing - B2C,,,
Kontera,Applications - Enterprise,Marketing - B2C,Acquired by Amobee in June 2014,2014,
LiveFyre,Applications - Enterprise,Marketing - B2C,Acquired by Adobe in May 2016,2016,Video
Lytics,Applications - Enterprise,Marketing - B2C,,,
mParticle,Applications - Enterprise,Marketing - B2C,,,
People Pattern,Applications - Enterprise,Marketing - B2C,,,
Persado,Applications - Enterprise,Marketing - B2C,,,
Quantifind,Applications - Enterprise,Marketing - B2C,,,
Remesh,Applications - Enterprise,Marketing - B2C,,,
Sailthru,Applications - Enterprise,Marketing - B2C,Acquired by Campaign Monitor in December 2018,2018,Video
SendGrid,Applications - Enterprise,Marketing - B2C,IPO in November 2017,2017,
Signpost,Applications - Enterprise,Marketing - B2C,,,
Simon Data,Applications - Enterprise,Marketing - B2C,,,
Spinnakr,Applications - Enterprise,Marketing - B2C,,,
SYNTASA,Applications - Enterprise,Marketing - B2C,,,
Tealium,Applications - Enterprise,Marketing - B2C,,,
TellApart,Applications - Enterprise,Marketing - B2C,Acquired by Twitter in April 2015,2015,
Zeta Interactive,Applications - Enterprise,Marketing - B2C,,,
Crossbeam,Applications - Enterprise,Partnerships,,,
