,O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology
936,11-3021.00,Computer and Information Systems Managers,Oracle Eloqua,43232303,Customer relationship management CRM software,N
937,11-3021.00,Computer and Information Systems Managers,Oracle Fusion Applications,43231602,Enterprise resource planning ERP software,Y
938,11-3021.00,Computer and Information Systems Managers,Oracle Fusion Middleware,43232403,Enterprise application integration software,Y
939,11-3021.00,Computer and Information Systems Managers,Oracle Hyperion,43231602,Enterprise resource planning ERP software,Y
940,11-3021.00,Computer and Information Systems Managers,Oracle iPlanet Web Server,43232312,Portal server software,N
941,11-3021.00,Computer and Information Systems Managers,Oracle Java,43232405,Object or component oriented development software,Y
942,11-3021.00,Computer and Information Systems Managers,Oracle JD Edwards EnterpriseOne,43231602,Enterprise resource planning ERP software,Y
943,11-3021.00,Computer and Information Systems Managers,Oracle PeopleSoft,43231602,Enterprise resource planning ERP software,Y
944,11-3021.00,Computer and Information Systems Managers,Oracle PL/SQL,43232304,Data base management system software,Y
945,11-3021.00,Computer and Information Systems Managers,Oracle Primavera Systems,43231507,Project management software,N
946,11-3021.00,Computer and Information Systems Managers,Oracle Siebel Server Sync,43232303,Customer relationship management CRM software,N
947,11-3021.00,Computer and Information Systems Managers,Oracle Solaris,43233004,Operating system software,Y
948,11-3021.00,Computer and Information Systems Managers,Oracle WebLogic Server,43232701,Application server software,Y
949,11-3021.00,Computer and Information Systems Managers,Pegasus software,43233501,Electronic mail software,N
950,11-3021.00,Computer and Information Systems Managers,Perforce Helix software,43232401,Configuration management software,N
951,11-3021.00,Computer and Information Systems Managers,Performance Solutions Technology ManagePro,43232303,Customer relationship management CRM software,N
952,11-3021.00,Computer and Information Systems Managers,PHP: Hypertext Preprocessor,43232408,Web platform development software,Y
953,11-3021.00,Computer and Information Systems Managers,Pilgrim Quality Solutions SmartSolve,43232606,Compliance software,N
954,11-3021.00,Computer and Information Systems Managers,PostgreSQL,43232311,Object oriented data base management software,Y
955,11-3021.00,Computer and Information Systems Managers,Practical extraction and reporting language Perl,43232405,Object or component oriented development software,Y
956,11-3021.00,Computer and Information Systems Managers,Progress OpenEdge ABL,43232402,Development environment software,N
957,11-3021.00,Computer and Information Systems Managers,Progress OpenEdge Application Server,43232701,Application server software,N
958,11-3021.00,Computer and Information Systems Managers,Progress OpenEdge Fathom Replication software,43232304,Data base management system software,N
959,11-3021.00,Computer and Information Systems Managers,Progress Sonic ESB,43232403,Enterprise application integration software,N
960,11-3021.00,Computer and Information Systems Managers,Progress WebSpeed Workshop,43232408,Web platform development software,N
961,11-3021.00,Computer and Information Systems Managers,Puppet,43232401,Configuration management software,Y
962,11-3021.00,Computer and Information Systems Managers,Python,43232405,Object or component oriented development software,Y
963,11-3021.00,Computer and Information Systems Managers,Qlik Tech QlikView,43232314,Business intelligence and data analysis software,Y
